Attributes,Volume,Volume,Volume,Adj Close,Adj Close,Adj Close
Symbols,GSK,PFE,AZN,GSK,PFE,AZN
Date,,,,,,
1/2/2018,9465500,16185800,6107400,32.10053253,32.92734146,31.99385643
1/3/2018,6600800,13456500,4195400,31.97884941,33.1713028,32.05715179
1/4/2018,5206400,12378100,3870900,32.03968811,33.24359894,32.1023674
1/5/2018,7250700,12492900,3336000,32.60468292,33.30685043,32.43695831
1/8/2018,5909100,18941500,1826300,32.50907135,32.93637466,32.21088409
1/9/2018,5285600,16011600,1761100,32.11791611,32.90022278,32.0752449
1/10/2018,5303100,17794900,2150100,31.63984489,32.95444489,31.89438057
1/11/2018,4567400,14328800,2762400,32.02230835,33.03577423,32.01194
1/12/2018,4999700,19203700,3017700,32.59599686,33.01769638,32.23801041
1/16/2018,7438900,28972200,4756500,32.9610672,33.07190704,31.64117813
1/17/2018,6390300,24034500,2844600,33.16099167,33.5960083,31.72256088
1/18/2018,4316200,18924600,3102500,33.17837524,33.42432404,31.71352196
1/19/2018,3478100,29538600,2527100,33.20445251,33.37913895,32.04811096
1/22/2018,4231900,20285100,2277100,33.51737595,33.37010956,32.5002594
1/23/2018,3553000,17578000,3529600,33.63037109,33.27070618,32.61781311
1/24/2018,5018100,17716500,5419300,33.59560394,33.37010956,32.42791367
1/25/2018,4696700,18015400,3579400,33.34352493,33.64118576,32.69015884
1/26/2018,4289600,48805900,5028800,33.93460083,35.24960327,33.12422562
1/29/2018,3943000,34894700,3680700,33.43914413,35.25862885,32.75345612
1/30/2018,3753700,45999700,3901500,33.12622452,34.15623856,32.32844543
1/31/2018,4677700,34022700,4888100,32.60468292,33.46950531,31.70447731
2/1/2018,3251300,28176400,3930400,32.67422867,33.58805847,31.77682495
2/2/2018,3343800,24277900,7475900,32.24829865,33.38742828,32.46408844
2/5/2018,6254400,40288100,8558500,30.84885406,31.61818504,30.54698181
2/6/2018,9096700,53164200,10560000,31.28346634,32.17449188,31.01721382
2/7/2018,6675700,29370000,6619600,31.31822777,31.90090179,30.65550041
2/8/2018,7331500,43501700,8095400,31.43992043,30.66973877,30.83636093
2/9/2018,5872300,47297700,8803400,31.71807289,31.15308571,30.39325905
2/12/2018,5910500,36758700,4868800,31.52684402,31.60906601,30.82731247
2/13/2018,3964100,20455000,2671100,31.6919899,31.86442757,30.80018806
2/14/2018,3443100,23239800,4727600,32.00492477,32.09241486,31.14381409
2/15/2018,3306500,21431100,3489300,32.43084335,32.56664658,31.63668823
2/16/2018,4690000,26242500,4257000,32.76984024,33.0682373,31.55299377
2/20/2018,4077500,25808700,5542500,32.44823074,32.84023285,31.28330803
2/21/2018,3459200,24546800,4971700,32.33523178,32.61223984,31.4600029
2/22/2018,2938100,22754700,2593100,32.35441589,32.59400558,31.329813
2/23/2018,2781800,17020900,2803900,32.59329224,33.0682373,31.627388
2/26/2018,2472200,24105600,2739600,32.73484421,33.82516861,31.79477692
2/27/2018,1825500,22336900,1982800,32.30132675,33.56069565,31.47859573
2/28/2018,2463100,26907900,3592400,32.12438583,33.11383438,30.86483383
3/1/2018,2802300,28731400,4684400,31.82357407,32.49368286,30.66024971
3/2/2018,1814100,21130300,6761400,32.04475784,32.78551865,30.83693695
3/5/2018,2401200,21176100,3889000,32.54020691,32.94055176,31.52509499
3/6/2018,2442100,17081100,3072700,32.67290878,32.7216835,31.41349983
3/7/2018,2623700,22239400,1528700,32.96487045,32.76728058,31.34840584
3/8/2018,3649200,20537600,1913700,33.19490051,33.28710175,31.41349983
3/9/2018,2386200,18311900,2299900,33.05334091,33.53333664,31.42280388
3/12/2018,2111900,25210300,2527600,33.30991364,33.38742828,31.47859573
3/13/2018,2022200,28046200,4037200,32.84985733,33.51510239,31.45070267
3/14/2018,2041900,22180700,2721400,32.83216476,33.1503067,31.46930313
3/15/2018,1648000,19457600,2193600,32.66406631,33.36006927,31.45070267
3/16/2018,1668700,32376900,4318200,32.98257065,33.54245377,32.16676331
3/19/2018,2141000,18978900,6252400,32.63751984,33.13207245,32.14815521
3/20/2018,1946700,19256000,3495300,32.52250671,33.13207245,32.33414841
3/21/2018,1982500,18094300,2619400,32.52250671,33.07735062,32.18535614
3/22/2018,2915800,20962700,3683700,31.98282623,32.46632767,32.05516815
3/23/2018,7868300,27880200,3967100,33.10642242,31.45403481,31.77618027
3/26/2018,2937800,23649400,3749600,33.11527634,31.9556179,32.32484818
3/27/2018,6769100,27357900,3938000,33.96461105,31.92826271,32.24115372
3/28/2018,6227600,24999700,5121700,34.84048843,32.19273758,32.66892624
3/29/2018,3641900,23533900,4010000,34.56622314,32.36600876,32.5201416
4/2/2018,2771900,26872200,3709200,34.37158203,31.96473503,32.25975037
4/3/2018,2910200,20254200,4806100,34.75201416,32.53928757,32.75262451
4/4/2018,3905300,20883000,3138800,35.31824112,32.94967651,32.75262451
