,compound
1/2/2020,0
1/3/2020,0
1/6/2020,0
1/7/2020,0
1/8/2020,0
1/9/2020,0
1/10/2020,0
1/13/2020,0
1/14/2020,0
1/15/2020,0
1/16/2020,0.5445
1/17/2020,0
1/21/2020,0.7256
1/22/2020,0.9336
1/23/2020,0.9336
1/24/2020,0.4359
1/27/2020,0.7574
1/28/2020,0.7574
1/29/2020,0.7574
1/30/2020,0.4404
1/31/2020,0.4404
2/3/2020,0.8675
2/4/2020,0.8675
2/5/2020,0.8675
2/6/2020,0.8675
2/7/2020,0.8474
2/10/2020,0.8474
2/11/2020,0.8474
2/12/2020,0.8474
2/13/2020,0.8474
2/14/2020,0.8474
2/18/2020,0.8474
2/19/2020,0.8474
2/20/2020,0.8474
2/21/2020,0
2/24/2020,0.7251
2/25/2020,-0.4003
2/26/2020,0.1461
2/27/2020,0.1461
2/28/2020,-0.2759
3/2/2020,0.1138
3/3/2020,0.3744
3/4/2020,0.556
3/5/2020,-0.283775
3/6/2020,0.8156
3/9/2020,-0.190566667
3/10/2020,0.8526
3/11/2020,0.472575
3/12/2020,-0.2003
3/13/2020,-0.346475
3/16/2020,0.8481
3/17/2020,0.2883
3/18/2020,0.257175
3/19/2020,0.7734
3/23/2020,0.81175
3/24/2020,0.8074
3/25/2020,-0.0164
3/26/2020,-0.0164
3/27/2020,0.9323
3/30/2020,-0.1923
3/31/2020,-0.1923
4/1/2020,-0.1923
4/2/2020,-0.1923
4/3/2020,-0.1923
4/6/2020,-0.7165
4/7/2020,-0.1981
4/8/2020,-0.1981
4/9/2020,0.69
4/13/2020,-0.56545
4/14/2020,-0.56545
4/15/2020,-0.56545
4/16/2020,-0.56545
4/17/2020,-0.6177
4/20/2020,0
4/21/2020,0
4/22/2020,0.089
4/23/2020,0.089
4/24/2020,0.6166
4/27/2020,-0.8323
4/28/2020,-0.8323
4/29/2020,0.4926
4/30/2020,0.4926
5/1/2020,0.3664
5/4/2020,-0.43415
5/5/2020,0.4926
5/6/2020,0.0258
5/7/2020,0.0258
5/8/2020,0.0258
5/11/2020,0.4347
5/12/2020,-0.00055
5/13/2020,0.6696
5/14/2020,0.8364
5/15/2020,0.6996
5/18/2020,0.7771
5/19/2020,0.7771
5/20/2020,-0.902
5/21/2020,-0.2371
5/22/2020,-0.2371
5/26/2020,-0.48775
5/27/2020,-0.271
5/28/2020,0.350866667
5/29/2020,-0.228766667
6/1/2020,-0.9648
6/2/2020,0.6793
6/3/2020,0.6793
6/4/2020,0.6793
6/5/2020,0.6793
6/8/2020,0.6793
6/9/2020,0.2646
6/10/2020,0.2646
6/11/2020,0.9115
6/12/2020,0.9115
6/15/2020,-0.9324
6/16/2020,-0.9324
6/17/2020,-0.9324
6/18/2020,-0.0579
6/19/2020,0.4278
6/22/2020,-0.029
6/23/2020,0.83615
6/24/2020,-0.5972
6/25/2020,0.729
6/26/2020,-0.4389
6/29/2020,-0.68
6/30/2020,-0.8921
7/1/2020,-0.8921
7/2/2020,-0.8921
7/6/2020,-0.466616667
7/7/2020,-0.6181
7/8/2020,0.8456
7/9/2020,0.8456
7/10/2020,0.8456
7/13/2020,0.8456
7/14/2020,0.8456
7/15/2020,0.6588
7/16/2020,0.6588
7/17/2020,0.765
7/21/2020,0.02065
7/22/2020,0.02065
7/23/2020,0.02065
7/24/2020,0.02065
7/27/2020,-0.049133333
7/28/2020,-0.6694
7/29/2020,-0.6694
7/30/2020,-0.6485
7/31/2020,-0.8109
8/3/2020,-0.378966667
8/4/2020,-0.5716
8/5/2020,-0.6114
8/6/2020,-0.6114
8/7/2020,0.030666667
8/10/2020,0.030666667
8/11/2020,0.4003
8/12/2020,0.4003
8/13/2020,0.4003
8/14/2020,-0.2942
8/17/2020,0.8916
8/18/2020,-0.9199
8/19/2020,0.00465
8/20/2020,0.00465
8/21/2020,0.00465
8/24/2020,-0.7922
8/25/2020,-0.7922
8/26/2020,0.2404
8/27/2020,-0.4694
8/28/2020,-0.4694
8/31/2020,-0.4694
9/1/2020,-0.4694
9/2/2020,-0.4694
9/3/2020,-0.9491
9/4/2020,-0.9491
9/8/2020,0.05535
9/9/2020,0.05535
9/10/2020,0.05535
9/11/2020,0.05535
9/14/2020,0.60055
9/15/2020,0.60055
9/16/2020,-0.05325
9/17/2020,-0.4159
9/18/2020,-0.313875
9/21/2020,-0.313875
9/22/2020,-0.313875
9/23/2020,0.8188
9/24/2020,0.8188
9/25/2020,0.8553
9/28/2020,0.8553
9/29/2020,0.8553
9/30/2020,-0.6114
